ID,Country code,Year,Country name,Start date,End date,Type,Flood source,Regions affected (v2010),Regions affected (v2021),Area flooded,Fatalities,Persons affected,Losses (nominal value),Losses (original currency),Losses (2020 euro),Cause,Notes,References,Changes
203,FR,1992,France,9/26/1992,9/27/1992,Flash,Aude,FR622;FR811;FR813;FR815,FRJ22;FRJ11;FRJ13;FRJ15,,6,5000,2000000000,FRF,439071960,"Extreme rainfall up to 292 mm in 24 h, of which 134 mm in 2 h",,CRED (2023); Brakenridge (2022); EEA (2015); Meteo France (2022); Wikipedia (2017w); AERMC (2011); Papagiannaki et al. (2022),Updated
204,FR,1992,France,9/27/1992,9/28/1992,Flash,Petrignani; Solenzara,FR832,FRM02,,1,,,,,Extreme rainfall up to 100 mm in 24 h,,DREAL Corse (2019),
899,IT,1992,Italy,9/28/1992,9/28/1992,Flash,Carbonara; Bisagno,ITC33,ITC33,,2,,7E+11,ITL,652072457,Extreme rainfall,5 victims in APAT (2005),CRED (2023); Brakenridge (2022); Wikipedia (2023b); APAT (2005); Papagiannaki et al. (2022),Updated
2204,ME,1992,Montenegro,10/5/1992,10/19/1992,River,Lim,ME000,ME000,,6,6140,,,,Heavy rainfall (two waves) up to 158 mm in 24 h,,Brakenridge (2022); European Commission (2019a); Bijelo Polje (2013); CRED (2023),New
1341,ES,1992,Spain,10/5/1992,10/5/1992,Flash,,ES120,ES120,,1,,,,,Extreme rainfall,,UNDRR (2022),
2746,IT,1992,Italy,10/6/1992,10/6/1992,River,Dora,ITC11;ITC20,ITC11;ITC20,,1,,,,,Heavy rainfall up to 235 mm in 6 days,,CNR (2023); Papagiannaki et al. (2022),New
900,IT,1992,Italy,10/17/1992,10/31/1992,River,Arno; Ombrone Pistoiese,ITI12;ITI14;ITI15;ITI17;ITI18,ITI12;ITI14;ITI15;ITI17;ITI18,,3,3530,1E+12,ITL,931532082,Heavy rainfall throughout the month (more that 500 mm),,CRED (2023); Barredo (2007); Brakenridge (2022); Wikipedia (2023b); APAT (2005); CNR (2023); Papagiannaki et al. (2022),Updated
901,IT,1992,Italy,11/2/1992,11/2/1992,Flash,Arrone,ITI43,ITI43,,1,,,,,Extreme rainfall,,CNR (2023); Papagiannaki et al. (2022),
2015,AL,1992,Albania,11/17/1992,11/19/1992,River,Mat; Drin; Buna,AL011;AL012;AL013;AL014;AL015,AL011;AL012;AL013;AL014;AL015,170,11,28000,680000000,ALL,52028070,Heavy rainfall (3 days),,ReliefWeb (2022); GIZ (2018); Brakenridge (2022); CRED (2023); OFDA (1993),New
386,EL,1992,Greece,11/19/1992,11/19/1992,Flash,,EL115,EL515,,4,,,,,Extreme rainfall,,Meteoclub (2017),
2723,NO,1992,Norway,12/1/1992,12/5/1992,River,Mandalselv; Kvina; Lygna,NO042;NO043,NO092;NO0A1,,0,,8500000,NOK,1855910,Heavy rainfall and snowmelt,Compensated economic loss,Andersen (1996); Finans Norge (2023); EEA (2015),New
